,Company Name,Job Title,average_salary,city,state
19,Centers for Disease Control and Prevention,Statistician (Health),101553.5,Atlanta,GA
23,Analytic Recruiting,Junior Data Scientist,82500.0,Alpharetta,GA
27,Centers for Disease Control and Prevention,Behavioral Scientist,85399.0,Atlanta,GA
54,Stackfolio,Lead Data Scientist,80000.0,Atlanta,GA
57,Analytic Recruiting,Senior Data Scientist,112500.0,Atlanta,GA
71,Emory University,Staff Scientist (Goldsmith Lab),85500.0,Atlanta,GA
81,SearchAccountingJobs,Lead Quantitative Analyst,177500.0,Atlanta,GA
83,Smith Hanley Associates,Marketing Statistician,87500.0,Atlanta,GA
127,Emory University,"Scientist, Med Imag Analysis",69900.0,Atlanta,GA
130,Synergy Search Group,Audit Snr (Banking) - Data Analysis 60K-80K,80000.0,Atlanta,GA
168,CSTE,Associate Research Analyst,51706.0,Atlanta,GA
265,Emory University,Sponsored Research Financial Analyst,66700.0,Atlanta,GA
310,Analytic Recruiting,Data Scientist - Supply Chain,107500.0,Atlanta,GA
401,Interesse International Inc,Market Research & Sales Analyst,65000.0,Atlanta,GA
1016,Georgia Department of Public Health,Laboratory Aide 3,24000.0,Atlanta,GA
1477,Dashbot.io,Data Engineer and Scientist,170000.0,San Francisco,CA
1614,Workbridge Associates,Sr. Data Scientist,165000.0,San Francisco,CA
1647,All-In Analytics,Sr. Machine Learning Data Scientist,135000.0,San Francisco,CA
1661,Workbridge Associates,Senior Data Scientist (Optimization),150000.0,San Francisco,CA
1676,Federal Emergency Management Agency,Physical Scientist,96947.0,Oakland,CA
1722,Nisum Technologies,Big Data Talend Developer,140000.0,San Francisco,CA
1811,Elevate Recruiting Group,Senior Data Scientist - Security Experience is Huge,170000.0,Redwood City,CA
1842,Harnham,Senior Data Science Manager,185000.0,San Francisco,CA
1976,Bayone Solutions Inc.,Data Scientist - Recommendation Engine,160000.0,San Francisco,CA
2157,San Francisco Department of Public Health,Manager I - Chief Microbiologist,111774.0,San Francisco,CA
2169,Workbridge Associates,Lead Data Analyst (Machine Learning Operations) - Autonomous...,155000.0,Berkeley,CA
2347,Better Staffing Solutions,Corpus Linguist,190000.0,Santa Clara,CA
2368,Phoenix 2.0,Big Data Engineer,175000.0,Palo Alto,CA
2380,Smith Hanley Associates,Senior Data Scientist,80000.0,San Jose,CA
2458,Workbridge Associates,Senior Data Scientist,150000.0,San Jose,CA
2497,EOS DA,Director Business Development,165000.0,Menlo Park,CA
2633,EOS DA,Entry Level GIS Technician,62500.0,Menlo Park,CA
2737,Tetration Analytics,Senior Software Engineer - API,140000.0,Palo Alto,CA
2742,Tetration Analytics,Senior Software Engineer - Controller,140000.0,Palo Alto,CA
2752,Intechriti,Data Scientist (IoT Network Security),160000.0,San Jose,CA
2789,Umpqua Bank,Pivotus Ventures - Data Scientist - Palo Alto,130000.0,Palo Alto,CA
2790,TERADEEP INC.,Machine Learning / Deep Learning Internship(s),60000.0,Campbell,CA
2890,Workbridge Associates,Lead Data Scientist,165000.0,San Jose,CA
2924,Workbridge Associates,Data Scientist,100000.0,Palo Alto,CA
2937,Workbridge Associates,Big Data Engineer,135000.0,San Jose,CA
4341,Jobspring Partners,Head of Data Science,205000.0,San Jose,CA
4481,Wade & Wendy,Wade & Wendy_Data Scientist/Engineer,100000.0,New York,NY
4529,Harnham,Senior Data Scientist,200000.0,New York,NY
4531,Oliver James Associates,"Program Manager - Data Science - New York City - $165,000",165000.0,New York,NY
4540,CONSUMER AFFAIRS,"Modeler/Data Scientist, Policy and Strategy",65977.0,Manhattan,NY
4554,Averity,Senior Statistician for Fortune 500 Company,110000.0,New York,NY
4568,Averity,"Senior Data Scientist for Innovative, Top-Ranked Global Comp...",110000.0,New York,NY
4591,Averity,Senior Data Scientist for Global Travel Company,110000.0,New York,NY
4604,Averity,Senior Data Scientist,150000.0,New York,NY
4612,DEPT OF ENVIRONMENT PROTECTION,Water Quality Analyst,79249.5,New York,NY
4620,Averity,Lead Data Scientist,130000.0,New York,NY
4631,Selby Jennings,Senior Data Scientist,167500.0,New York,NY
4636,Selby Jennings,Senior Data Scientist - Quantitative Solutions,160000.0,New York,NY
4657,DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant, Bureau of Vital Statistics",65977.0,Manhattan,NY
4666,DEPT OF HEALTH/MENTAL HYGIENE,"Quality Assurance Analyst, Bureau of Vital Statistics",65977.0,Manhattan,NY
4690,Selby Jennings,Statistical Modeler | FinTech,112500.0,New York,NY
4706,DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Bureau of Mental Health/Research and Evaluatio...",79249.5,New York,NY
4721,Selby Jennings,Quantitative Analyst - Multiple Vacancies,120000.0,New York,NY
4735,Harris Allied,Quantitative Research/Data Analyst,140000.0,New York,NY
4736,Smith Hanley Associates,Director of Data Science,150000.0,New York,NY
4751,"NewAgeSys,Inc",Scientist,45000.0,Parsippany,NJ
4762,POLICE DEPARTMENT,"STATISTICIAN, LEVEL I",51363.0,New York,NY
4767,DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist, Bureau of the Public Health Laborat...",76941.5,Manhattan,NY
4769,Averity,Lead Data Scientist - Top Data Consultancy,140000.0,New York,NY
4783,HOUSING PRESERVATION & DVLPMNT,Technical Researcher,70286.0,New York,NY
4814,Averity,Lead Data Scientist (New Jersey),150000.0,New York,NY
4828,StreetID,Quantitative Analyst,120000.0,New York,NY
4875,Averity,"Data Scientist, Quant Developer for $10B Asset Manager",135000.0,New York,NY
4889,NYC Department of Buildings,"Research Analyst, Risk",68908.5,Manhattan,NY
4901,Winston Fox,Senior Software Development Engineer,200000.0,New York,NY
4920,Selby Jennings,VP Quantitative Analyst - Multiple Vacancies,130000.0,New York,NY
4921,DEPT OF ENVIRONMENT PROTECTION,Environmental Analyst,65977.0,New York,NY
4946,DEPT OF ENVIRONMENT PROTECTION,City Research Scientist,79249.5,New York,NY
4958,Averity,Tableau Developer for Global Organization,80000.0,New York,NY
4961,Selby Jennings,FTR Quantitative Risk Analyst,135000.0,New York,NY
4974,Scienaptic Systems Inc,Data Scientist,100000.0,New York,NY
4981,Centers for Disease Control and Prevention,Health Scientist,117437.5,New York,NY
5018,Averity,Senior Systematic Quantitative Analyst - Multi-billion Dolla...,200000.0,New York,NY
5034,Animalz,Research Analyst,40000.0,New York,NY
5054,POLICE DEPARTMENT,"Coordinator / Lead Scientist, Municipal Storm Sewer Systems",90981.0,New York,NY
5097,Selby Jennings,Vice President Quantitative Analyst,130000.0,New York,NY
5109,Averity,Quantitative Research Analyst for Multi-Billion Dollar Hedge...,175000.0,New York,NY
5123,Driversiti,Full-Stack Dev Data Viz - Pythonic Design,100000.0,Rochelle Park,NJ
5129,"NewAgeSys,Inc",Chemist,50000.0,Kenilworth,NJ
5130,DEPT OF HEALTH/MENTAL HYGIENE,"Panel Maintenance Analyst, World Trade Center Health Registr...",65977.0,Manhattan,NY
5136,Geode Executive Search,"Data Scientist - Text Analytics - SQL, R, SAS",200000.0,New York,NY
5142,Nathan S. Kline Institute,Post-Doctoral Scientist (Analytical Psychopharmacology Depar...,25000.0,Orangeburg,NY
5158,Workbridge Associates,Data Scientist,115000.0,New York,NY
5175,Harnham,Big Data Engineer,110000.0,New York,NY
5234,Oscar Technology,Jr Data Scientist - Healthcare/Insurance,110000.0,Jacksonville,FL
5947,University of Miami,Assistant Scientist,75400.0,Coral Gables,FL
5949,University of Miami,Scientist,108600.0,Coral Gables,FL
5952,University of Miami,Statistical Programmer,32900.0,Coral Gables,FL
5953,University of Miami,Assistant Scientist/Postdoctoral Associate,59450.0,Coral Gables,FL
5961,The Bachrach Group,Quantitative Financial Analyst,80000.0,Miami Lakes,FL
5967,University of Miami,(Temporary) Research Analyst,50375.0,Coral Gables,FL
5980,University of Miami,(Temporary) Research Laboratory Technician,38400.0,Coral Gables,FL
5992,University of Miami,Research Analyst,46000.0,Coral Gables,FL
5999,University of Miami,Sr. Research Analyst,56000.0,Coral Gables,FL
6012,University of Miami,Lead Research Analyst (Biostatistics),93100.0,Coral Gables,FL
6022,Smith Hanley Associates,Statistical Operations Research Analyst,85000.0,Miami,FL
6052,University of Miami,Sr. Research Analyst / Pre-award Grants,56000.0,Coral Gables,FL
6057,University of Miami,Financial Analyst (Clinical Research Revenue),44875.0,Coral Gables,FL
6112,Morgan Stephens,Librarian Research Analyst,80000.0,Miami,FL
6678,Identifize Consulting,Superstar Senior Quantitative Finance Analyst,175000.0,Charlotte,NC
6707,Selby Jennings,Quantitative Analyst - Multiple Vacancies,150000.0,Charlotte,NC
6730,Selby Jennings,SVP Quantitative Analyst - Multiple Vacancies,150000.0,Charlotte,NC
6736,Selby Jennings,Quantitative Credit Risk Analyst,150000.0,Charlotte,NC
6746,Selby Jennings,Senior Quantitative Analyst - Credit Risk,135000.0,Charlotte,NC
6764,Conclusive Marketing,Senior Database Developer,105000.0,Huntersville,NC
7407,Analytic Recruiting,Data Analyst – Junior Data Scientist,77500.0,Washington,DC
7409,Analytic Recruiting,Statistician,112500.0,Washington,DC
7421,Federal Bureau of Investigation,Computer Scientist GS 13 (Ext),105969.5,Washington,DC
7436,GWU - ECE Department,Post-Doctoral Scientist,46000.0,Washington,DC
7465,Selby Jennings,Associate Data Science,137500.0,Washington,DC
7494,Federal Aviation Administration,Operations Research Analyst,98670.5,Washington,DC
7524,Fairfax County Government,Research Assistant - Management Analyst ...,66164.0,Fairfax,VA
7525,TULKORP.,Computer Vision Scientist 2,135000.0,Alexandria,VA
7537,Office of the State Superintendent of Education,Education Research Analyst,92736.5,Washington,DC
7567,National Security Agency,Cryptologic Computer Scientist,75091.5,Fort George G Meade,MD
7581,Piper Clinical Solutions,Bioinformatics Scientist,130000.0,Bethesda,MD
7584,Central Intelligence Agency,Data Scientist,111319.0,Washington,DC
7586,All-In Analytics,Sr. Market Risk Data Scientist,107500.0,Washington,DC
7662,Central Intelligence Agency,Applications Developer,86213.0,Washington,DC
7703,Tuberous Sclerosis Alliance,Science Project Coordinator,55000.0,Silver Spring,MD
7753,Workbridge Associates,Senior Data Scientist,115000.0,Alexandria,VA
7784,"Elite Technical Services, Inc.",Data Architect and Engineering,155000.0,Washington,DC
7838,Spectrum Careers,Data Scientist,130000.0,Washington,DC
7866,Centers for Disease Control and Prevention,Health Scientist,117437.5,Washington,DC
7869,"Metron, Inc.",Operations Research Analyst with Security Clearance,85000.0,Pentagon,DC
7897,"ADNET Systems, Inc.",Earth Data Support Scientist - GD100,75000.0,Greenbelt,MD
7900,U.S. Department of Labor,Research Statistician,98642.0,Washington,DC
7915,"Tygart Technology, Inc.",Data Scientist,140000.0,Washington,DC
7960,All-In Analytics,Lead Market Risk Data Scientist,112500.0,Washington,DC
7964,Request Technology,Sr. Big Data Support Engineer,128500.0,McLean,VA
7978,Dept of Forensic Sciences,Forensic Scientist III (Crime Scene / Crime Scene Analyst),100306.5,Washington,DC
8032,The Wallach Search Group,Project Delivery Specialist,150000.0,Washington,DC
8036,Central Intelligence Agency,Open Source Officer,76169.5,Washington,DC
8060,"Sirnaomics,Inc",Biochemistry Lab Assistant,32000.0,Gaithersburg,MD
8066,Prince George's Community College,"Research Analyst, Institutional Research and Reporting",63863.0,Largo,MD
8170,Dynamic Staffing Inc.,Data Scientist-Software Engineer,125000.0,Seattle,WA
8263,LIBERTY MUTUAL GROUP,"Assistant Director, Data Science",118000.0,Seattle,WA
8349,Cutting Edge Medical Diagnostics,"Sr. Data Scientist / Machine Learning (In-vitro dx, Imaging)",140000.0,Seattle,WA
8380,HERO.Jobs,"Machine Learning Engineer - Big Data, Python, R",160000.0,Seattle,WA
8408,"G2 Web Services, LLC",Research and Investigation Analyst,35000.0,Bellevue,WA
8503,Philanthropy Northwest,"Research Analyst, The Giving Practice",55000.0,Seattle,WA
8662,All-In Analytics,Business Intelligence Scientist,125000.0,Seattle,WA
8666,State of Washington,TMDL Lead (Environmental Specialist 4),55548.0,Bellevue,WA
8668,Lighthouse Recruiting,Variant Scientist (Remote),95000.0,Seattle,WA
8710,All-In Analytics,Sr. Global Device Manager,162500.0,Seattle,WA
8845,Smith Arnold Partners,Research Analyst,57500.0,Seattle,WA
8940,All-In Analytics,Senior Machine Learning Data Scientist,150000.0,Austin,TX
8993,XOR Data Exchange,Senior Software Engineer/Team Lead,90000.0,Austin,TX
9097,Volt Workforce Solutions,Machine Learning Engineer,135000.0,Austin,TX
9098,Lighthouse Recruiting,LCMS Certifying Scientist,70000.0,Austin,TX
9665,Baylor College of Medicine,Sr. Bioinformatics Programmer,80500.0,Houston,TX
9668,Baylor College of Medicine,Lead Bioinformatics Programmer,92500.0,Houston,TX
9669,SearchBankingJobs,Quantitative Risk Analyst,177500.0,Houston,TX
9712,Baylor College of Medicine,Research Financial Analyst II,65000.0,Houston,TX
9766,Rekruiters,C++ Software Engineer,250000.0,Houston,TX
9767,Baylor College of Medicine,Senior Research Policy Analyst,72000.0,Houston,TX
9770,Selby Jennings,Catastrophe Risk Analyst - Quantitative,97500.0,Houston,TX
9775,Selby Jennings,Senior Predictive Modeling Actuary,100000.0,Houston,TX
10410,Denver Public Schools,"SENIOR RESEARCH ANALYST, TEACHING AND LEARNING - 17167",69673.0,Denver,CO
10412,10Roof Technology,"Big Data Developer (Spark, Hadoop, Hive)",105000.0,Denver,CO
10434,Mountain Ltd.,Legal Research Analyst,42500.0,Denver,CO
10442,Lauren Enterprises,Food Scientist: Chemistry & Formulations,35000.0,Denver,CO
10444,xentity corporation,Government Enterprise Architect,111000.0,Denver,CO
10459,"Gunther Douglas, Inc.",Data Scientist,112500.0,Superior,CO
10464,Community College of Aurora,Research Analyst,40000.0,Aurora,CO
10507,Denver Public Schools,RESEARCH ANALYST – 16996,63339.0,Denver,CO
10522,University of Colorado,Bioinformationist,56500.0,Aurora,CO
10539,University of Colorado,Managing Director for STROBE,107500.0,Boulder,CO
10551,Denver Health,Business Manager - RADARS,88091.0,Denver,CO
10624,Potatoes USA,Global Marketing Manager - Food Manufacturing,85000.0,Denver,CO
10681,University of Colorado,Health & Human Sciences Librarian,50500.0,Boulder,CO
10763,Denver Health,RN-Statistical Research Specilist Nursing,66654.0,Denver,CO
11131,State of Maryland,RESEARCH STATISTICIAN II,53592.5,Baltimore,MD
11135,Johns Hopkins University,Research Service Analyst,49165.0,Baltimore,MD
11148,State of Maryland,EPIDEMIOLOGIST I,50508.0,Baltimore,MD
11153,"City of Baltimore, MD",Research Analyst II - Dept. of Public Wo...,79050.0,Baltimore,MD
11163,Johns Hopkins University,Sr. Research Service Analyst,56205.0,Baltimore,MD
11166,Johns Hopkins University,Research Data Analyst,50112.0,Baltimore,MD
11175,Johns Hopkins University,Biostatistician,59339.0,Baltimore,MD
11193,Johns Hopkins University,Drug Discovery Scientist,51114.0,Baltimore,MD
11206,Johns Hopkins University,Sr. Biostatistician,68904.0,Baltimore,MD
11221,Johns Hopkins University,Sr. Research Data Analyst,59339.0,Baltimore,MD
11251,Johns Hopkins University,Sr. Institutional Research Analyst,59339.0,Baltimore,MD
11255,Johns Hopkins University,Ophthalmic Surgical Education Training Center Coordinator,49165.0,Baltimore,MD
11264,"Apex Sytems, Inc",Research Audit Analyst,45000.0,Columbia,MD
11280,Johns Hopkins University,Research Specialist,43986.0,Baltimore,MD
11295,Johns Hopkins University,Postdoctoral Fellowship in Immuno-Oncology,45000.0,Baltimore,MD
11300,Johns Hopkins University,Data Scientist,65643.5,Baltimore,MD
11310,State of Maryland,EDUCATION PROGRAM SPECIALIST I (Education Research Associate...,78873.0,Baltimore,MD
11317,Johns Hopkins University,Research Billing Compliance Analyst,66956.5,Baltimore,MD
11378,National Security Agency,Data Scientist - Experienced,116850.0,Fort George G Meade,MD
11386,National Security Agency,Mathematicians,75091.5,Fort George G Meade,MD
11387,National Security Agency,Mathematical Statisticians,75091.5,Fort George G Meade,MD
11390,National Security Agency,Operations Research Analyst,75091.5,Fort George G Meade,MD
11420,National Security Agency (NSA),Cryptologic Computer Scientist,75091.5,Fort Meade,MD
11855,Boy Scouts of America,Senior Statistical Data Coordinator,50000.0,Irving,TX
11860,"NewAgeSys,Inc",Analytical Scientist,80000.0,Fort Worth,TX
11886,Selby Jennings,Quantitative Analyst - Multiple Vacancies,150000.0,Dallas,TX
11931,NextStep Recruiting,Pricing and Quantitative Analyst,85000.0,Irving,TX
11964,All-In Analytics,Senior Marketing Data Scientist,90000.0,Dallas,TX
12041,Selby Jennings,Catastrophe Risk Analyst - Quantitative,97500.0,Dallas,TX
12582,University of Virginia,Web Developer/Designer & Statistical Analyst,57500.0,Charlottesville,VA
12583,Axon Connected,Cytotechnologist / Laboratory Technician / Laboratory Scient...,65000.0,Earlysville,VA
12597,University of Virginia,Bioinformatics Analyst,60000.0,Charlottesville,VA
12598,University of Virginia Health System,Data Scientist Intermediate,95482.5,Charlottesville,VA
12619,University of Virginia,Geospatial Consultant,60000.0,Charlottesville,VA
13308,3coast,Senior Quantitative Analyst,115000.0,Cincinnati,OH
13366,Pomeroy IT Solutions,System Engineer I,50000.0,Mason,OH
13378,Cincinnati Zoo & Botanical Garden,Research Associate,33500.0,Cincinnati,OH
13390,Selby Jennings,Research Analyst- 8.5bn AUM Wealth Management,112500.0,Cincinnati,OH
14033,Hunter International,GC-MS Scientist,70000.0,Cleveland,OH
14041,Hunter International,Quality Control Scientist,60000.0,Cleveland,OH
14081,Emerald Resource Group,Data Scientist Lead,110000.0,Cleveland,OH
14762,"NewAgeSys,Inc",Scientist (Novartis),50000.0,Cambridge,MA
14764,Jobspring Partners,Senior Data Scientist,150000.0,Boston,MA
14765,Domeyard LP,HPC Scientist at HFT Hedge Fund,120000.0,Boston,MA
14806,Domeyard LP,High Performance Computing Scientist needed for HFT Firm,120000.0,Boston,MA
14809,Jobspring Partners,Data Analyst,92500.0,Boston,MA
14810,LIBERTY MUTUAL GROUP,"Assistant Director, Predictive Modeling",134950.0,Boston,MA
14815,Jobspring Partners,Data Analysis,90000.0,Boston,MA
14828,Jobspring Partners,Data Scientist/Engineer,105000.0,Cambridge,MA
14866,"NewAgeSys,Inc",Scientist (PFIZER),45000.0,Andover,MA
14947,Jobspring Partners,Deep Learning Engineer,170000.0,Boston,MA
15098,Rifiniti,Assistant to the President,55000.0,Boston,MA
15099,"Engineering Resource Group, Inc.",Lead Machine Learning Data Analyst,97500.0,Boston,MA
15108,MaxMind,Data Scientist,100000.0,Waltham,MA
15211,US Engineering Technical Services,Data Analyst,110000.0,Wilmington,MA
15215,Northeastern University,Research Scientist,60000.0,Boston,MA
15317,Harnham,"DATA SCIENTIST TEAM MANAGER, CUTTING EDGE TECH BUSINESS",180000.0,Cambridge,MA
15391,The Bivium Group,"Data Engineer - Big Data Services, AWS",125000.0,Cambridge,MA
15423,LIBERTY MUTUAL GROUP,Senior Software Developer,112750.0,Boston,MA
15453,Jobspring Partners,Data Scientist,100000.0,Boston,MA
15496,Selby Jennings,Catastrophe Risk Analyst - Quantitative,97500.0,Boston,MA
15502,Harnham,DIRECTOR OF DATA SCIENCE - RETAIL,200000.0,Boston,MA
16171,The Bivium Group,"Data Scientist - healthcare, hacking coding skills",115000.0,Cambridge,MA
16249,Strategic Employment Partners,Data Scientist,112500.0,Cambridge,MA
